link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
https://www.zalando.co.uk/boss-emaura-cocktail-dress-party-dress-open-green-bb121c0cv-m11.html,BOSS,EMAURA , Day dress,summer-dresses,Â£219.99,open green,--,--,Rib,--,"68% viscose, 32% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Plain,Belt included,BB121C0CV-M11,Calf-length,Extra short,"45.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/boss-emaura-cocktail-dress-party-dress-open-green-bb121c0cv-m11.html,BOSS,EMAURA , Day dress,summer-dresses,Â£219.99,pink,--,--,Rib,--,"68% viscose, 32% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Plain,Belt included,BB121C0CV-M11,Calf-length,Extra short,"45.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/boss-c_detelizza-day-dress-white-bb121c0cl-a11.html,BOSS,C_DETELIZZA , Day dress,summer-dresses,Â£159.99,white,--,--,--,Semi-sheer,"96% cotton, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,--,Low-cut v-neck,Plain,"Belt included, inseam pockets",BB121C0CL-A11,Knee-length,"19.5 "" (Size 8)","40.0 "" (Size 8)",Loose Fit,--,"17.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/boss-c_detelizza-day-dress-white-bb121c0cl-a11.html,BOSS,C_DETELIZZA , Day dress,summer-dresses,Â£159.99,navy,--,--,--,Semi-sheer,"96% cotton, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,--,Low-cut v-neck,Plain,"Belt included, inseam pockets",BB121C0CL-A11,Knee-length,"19.5 "" (Size 8)","40.0 "" (Size 8)",Loose Fit,--,"17.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/boss-c_detelizza-day-dress-white-bb121c0cl-a11.html,BOSS,C_DETELIZZA , Day dress,summer-dresses,Â£159.99,pink,--,--,--,Semi-sheer,"96% cotton, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,--,Low-cut v-neck,Plain,"Belt included, inseam pockets",BB121C0CL-A11,Knee-length,"19.5 "" (Size 8)","40.0 "" (Size 8)",Loose Fit,--,"17.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/superdry-kala-smocked-midi-dress-day-dress-black-su221c0ie-q11.html,Superdry,KALA SMOCKED MIDI DRESS , Day dress,summer-dresses,Â£31.49,black,--,--,--,--,100% viscose,--,Machine wash at 30Â°C,--,--,--,--,Backless,Plain,Inseam pockets,SU221C0IE-Q11,Knee-length,Short,"42.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/anna-field-dress-day-dress-dark-green-an621c1p1-m11.html,Anna Field,DRESS , Day dress,summer-dresses,Â£31.49,dark green,--,--,--,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,Button,--,Plain,"Belt included, underskirt",AN621C1P1-M11,Short,"24.0 "" (Size 8)","35.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/derhy-day-dress-ecru-rd521c0lm-t11.html,Derhy,ACACIA ROBE , Day dress,summer-dresses,Â£74.99,ecru,--,--,--,--,100% viscose,--,"Do not tumble dry, Hand wash only",Standing collar,--,--,--,Low-cut v-neck,Floral,Decorative buttons,RD521C0LM-T11,Knee-length,"21.5 "" (Size S)","38.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","19.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/jdy-tall-jdymary-dress-day-dress-dark-grey-melange-jd521c003-c11.html,JDY Tall,JDYMARY DRESS , Day dress,summer-dresses,Â£22.09,dark grey melange,--,--,Sweat,--,"65% polyester, 35% viscose",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,--,--,Marl,--,JD521C003-C11,Knee-length,"27.5 "" (Size S)","42.0 "" (Size S)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/derhy-day-dress-lilasmauve-rd521c0m0-t11.html,Derhy,ALBIZIA ROBE , Day dress,summer-dresses,Â£89.99,lilas/mauve,--,--,--,Semi-sheer,100% cotton,100% cotton,Hand wash only,--,--,--,--,Low-cut v-neck,Floral,Slip,RD521C0M0-T11,Short,Elbow length,"35.5 "" (Size S)",Loose Fit,--,"11.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
