cv_predicted,Styles,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59
edgy,edgy,0.760033985,7361,https://www.zalando.co.uk/2nd-day-amanda-fluid-day-dress-black-s3821c05z-q11.html,2nd Day,AMANDA FLUID  , Cocktail dress / Party dress,Cocktail Dresses,Â£189.99,black,--,--,Satin,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Animal print,--,S3821C05Z-Q11,Knee-length,"26.5 "" (Size 8)","41.5 "" (Size 8)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 8","13.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.561954624,4014,https://www.zalando.co.uk/2nd-day-sherman-day-dress-jet-black-s3821u02y-q11.html,2nd Day,SHERMAN DEMAND , Day dress,summer-dresses,Â£529.99,black,--,--,--,--,100% leather,100% cotton,Clean with leather care products,Hood,--,--,Button,--,Plain,"Belt included, inseam pockets",S3821U02Y-Q11,Calf-length,Extra short,"44.0 "" (Size 10)",Regular Fit,--,"20.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.615998776,5733,https://www.zalando.co.uk/ragwear-day-dress-black-r5921c08p-q11.html,Ragwear,MASCARPONE , Day dress,summer-dresses,Â£43.99,blue,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,Inseam pockets,R5921C08P-Q11,Knee-length,Extra short,"37.5 "" (Size S)",Regular Fit,--,"15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.145288875,5521,https://www.zalando.co.uk/vero-moda-day-dress-black-sallie-ve121c2h0-q13.html,Vero Moda,VMSMILLA , Day dress,summer-dresses,Â£30.99,brown,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Button,Crew neck,Floral,Slip,VE121C2H0-Q13,Short,"24.5 "" (Size S)","36.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,girly,0.577508901,1286,https://www.zalando.co.uk/vila-vimagnolia-belt-dress-day-dress-navy-v1021c30f-k11.html,Vila,VIMAGNOLIA BELT DRESS , Day dress,summer-dresses,Â£34.99,navy,--,--,Satin,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,V-neck,Floral,Belt included,V1021C30F-K11,Knee-length,"25.0 "" (Size 10)","36.5 "" (Size 10)",Regular Fit,--,"15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.9834439340000001,3507,https://www.zalando.co.uk/vila-viselena-v-neck-dress-day-dress-blackgreen-v1021c2w4-q11.html,Vila,VISELENA V NECK DRESS , Day dress,summer-dresses,Â£34.99,black/green,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Low-cut v-neck,Animal print,--,V1021C2W4-Q11,Short,"25.5 "" (Size 8)","36.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,girly,0.920800707,5365,https://www.zalando.co.uk/vila-vijose-blume-short-ruffle-dress-day-dress-snow-white-v1021c2ff-a11.html,Vila,VIJOSE BLUME SHORT RUFFLE DRESS , Day dress,summer-dresses,Â£37.39,white,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Floral,--,V1021C2FF-A11,Short,"25.0 "" (Size 10)","32.0 "" (Size 10)",Regular Fit,--,"15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.8297027159999999,3291,https://www.zalando.co.uk/boss-c_detelizza-day-dress-navy-bb121c0cl-k11.html,BOSS,C_DETELIZZA , Day dress,summer-dresses,From Â£159.99,pink,--,--,--,--,"96% cotton, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,--,Low-cut v-neck,Plain,"Belt included, inseam pockets",BB121C0CL-K11,Knee-length,"19.0 "" (Size 8)","40.0 "" (Size 8)",Loose Fit,--,"20.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.906367743,4123,https://www.zalando.co.uk/bruuns-bazaar-seer-allure-dress-day-dress-faded-blue-br321c05w-q12.html,Bruuns Bazaar,SEER ALLURE DRESS , Day dress,summer-dresses,Â£99.99,pastel blue,--,--,--,Semi-sheer,"80% polyester, 20% cotton",--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Checked,--,BR321C05W-Q12,Short,"17.5 "" (Size 8)","33.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.598711069,632,https://www.zalando.co.uk/jdy-jdymary-dress-day-dress-old-rose-jy121c0g3-j11.html,JDY,JDYMARY DRESS , Day dress,summer-dresses,Â£19.49,pink,--,--,Sweat,--,"65% polyester, 35% viscose",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,--,--,Plain,--,JY121C0G3-J11,Knee-length,"25.0 "" (Size S)","40.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
