,Style,Link,Brand,Dress name,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
0,edgy,https://www.zalando.co.uk/2nd-day-amanda-fluid-day-dress-black-s3821c05z-q11.html,2nd Day,"AMANDA FLUID  ",189.99,4,black,Satin,100% viscose,Unknown,"Do not tumble dry, machine wash at 30Â°C",Unknown,Unknown,Closing,Unknown,Neckline,Unknown,Unknown,Unknown,Unknown,Unknown,"41.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,edgy,https://www.zalando.co.uk/2nd-day-sherman-day-dress-jet-black-s3821u02y-q11.html,2nd Day,"SHERMAN DEMAND ",529.99,5,black,Leather,100% leather,100% cotton,Clean with leather care products,Hood,Unknown,Button,Hooded dresses,Unknown,Plain,"Belt included, inseam pockets",Calf length,Extra short,Short,"44.0 "" (Size 10)",Regular Fit,Regular fit,Unknown,"20.5 "" (Size 10)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,sporty,https://www.zalando.co.uk/ragwear-day-dress-black-r5921c08p-q11.html,Ragwear,"MASCARPONE ",43.99,2,blue,Viscose,100% viscose,Unknown,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Round neckline,Plain,Inseam pockets,Knee length,Extra short,Short,"37.5 "" (Size S)",Regular Fit,Regular fit,Unknown,"15.0 "" (Size S)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,girly,https://www.zalando.co.uk/vero-moda-day-dress-black-sallie-ve121c2h0-q13.html,Vero Moda,"VMSMILLA ",30.99,1,brown,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",Unknown,Unknown,Button,Unknown,Round neckline,Floral,Slip,Short,"24.5 "" (Size S)",Long,"36.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4,girly,https://www.zalando.co.uk/vila-vimagnolia-belt-dress-day-dress-navy-v1021c30f-k11.html,Vila,"VIMAGNOLIA BELT DRESS ",34.99,1,navy,Satin,100% polyester,Unknown,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Accentuating the waist,V-neck,Floral,Belt included,Knee length,"25.0 "" (Size 10)",Long,"36.5 "" (Size 10)",Regular Fit,Regular fit,Unknown,"15.0 "" (Size 10)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5,trendy,https://www.zalando.co.uk/vila-viselena-v-neck-dress-day-dress-blackgreen-v1021c2w4-q11.html,Vila,"VISELENA V NECK DRESS ",34.99,1,black/green,Polyester,100% polyester,Unknown,"Do not tumble dry, machine wash at 30Â°C",Unknown,Unknown,Unknown,Unknown,Low v-neck,Animal Prints in general,Unknown,Short,"25.5 "" (Size 8)",Long,"36.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6,girly,https://www.zalando.co.uk/vila-vijose-blume-short-ruffle-dress-day-dress-snow-white-v1021c2ff-a11.html,Vila,"VIJOSE BLUME SHORT RUFFLE DRESS ",37.39,1,white,Polyester,100% polyester,Unknown,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Low v-neck,Floral,Unknown,Short,"25.0 "" (Size 10)",Long,"32.0 "" (Size 10)",Regular Fit,Regular fit,Unknown,"15.5 "" (Size 10)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
7,classic,https://www.zalando.co.uk/Hugo Boss-c_detelizza-day-dress-navy-bb121c0cl-k11.html,Hugo Boss,"C_DETELIZZA ",159.99,4,pink,Cotton,"96% cotton, 4% elastane",Unknown,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,Unknown,Unknown,Button down dresses,Low v-neck,Plain,"Belt included, inseam pockets",Knee length,"19.0 "" (Size 8)",Short,"40.0 "" (Size 8)",Loose Fit,Loose fit,Unknown,"20.5 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8,girly,https://www.zalando.co.uk/bruuns-bazaar-seer-allure-dress-day-dress-faded-blue-br321c05w-q12.html,Bruuns Bazaar,"SEER ALLURE DRESS ",99.99,3,pastel blue,Polyester,"80% polyester, 20% cotton",Unknown,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Low v-neck,Checked,Unknown,Short,Elbow length,Elbow length,"33.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",Yes,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
9,sporty,https://www.zalando.co.uk/jdy-jdymary-dress-day-dress-old-rose-jy121c0g3-j11.html,JDY,"JDYMARY DRESS ",19.49,1,pink,Sweat,"65% polyester, 35% viscose",Unknown,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,Unknown,Unknown,Hooded dresses,Unknown,Plain,Unknown,Knee length,"25.0 "" (Size S)",Long,"40.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
