,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
439,0.90391718,4091,https://www.zalando.co.uk/rifo-suzanne-day-dress-blue-mare-rip21c000-k11.html,RifÃ²,SUZANNE , Day dress,summer-dresses,59.99,blue,,,PiquÃ©,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,,Low-cut v-neck,Plain,,RIP21C000-K11,Knee-length,Short,"36.5 "" (Size S)",Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,0.937274925,3132,https://www.zalando.co.uk/part-two-naiomi-day-dress-green-p2121c0ee-m11.html,Part Two,NAIOMI , Day dress,summer-dresses,93.49,army green,,,,,100% viscose,100% viscose,Dry clean only,Standing collar,,,,Low-cut v-neck,Floral,Slip,P2121C0EE-M11,Knee-length,"23.5 "" (Size 8)","40.0 "" (Size 8)",Loose Fit,,"14.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,0.458943513,596,https://www.zalando.co.uk/vila-vikawa-dress-day-dress-optical-snow-v1021c2v9-a11.html,Vila,VIKAWA NOOS , Day dress,summer-dresses,39.99,white,,,,,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Plain,,V1021C2V9-A11,Short,Long,,Slim Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,0.8598518159999999,3716,https://www.zalando.co.uk/marimekko-ilolle-jokeri-dress-day-dress-dark-bluesand-m4k21c04s-k11.html,Marimekko,ILOLLE JOKERI DRESS , Day dress,summer-dresses,259.99,navy,,,,,100% cotton,,"Machine wash at 40°C, do not tumble dry",Kent collar,,,Button,,,,M4K21C04S-K11,Calf-length,"21.5 "" (Size 10)","44.5 "" (Size 10)",Regular Fit,,"20.5 "" (Size 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,0.505788995,2873,https://www.zalando.co.uk/esprit-day-dress-navy-es121c24h-k11.html,Esprit,Day dress,,summer-dresses,55.0,navy,,,,,"60% viscose, 40% polyamide",,"Do not bleach, machine wash at 30°C",,,,,Low-cut v-neck,Marl,Belt included,ES121C24H-K11,Short,3/4 length,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,0.7788307179999999,7135,https://www.zalando.co.uk/patrizia-pepe-dress-cocktail-dress-party-dress-nero-p1421c0iw-q11.html,Patrizia Pepe,DRESS , Cocktail dress / Party dress,Cocktail Dresses,264.99,black,,,Faux leather,,100% polyester,,"Do not tumble dry, Hand wash only",,,,Zip,,Plain,,P1421C0IW-Q11,Short,Strapless,,Slim Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,0.33795775899999997,1418,https://www.zalando.co.uk/object-objmila-bay-shirt-dress-day-dress-sky-captainacloud-dancer-ob121c0tc-k11.html,Object,OBJMILA BAY SHIRT DRESS  , Day dress,summer-dresses,43.99,navy,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Turn-down collar,,,Button,,Print,"Belt included, bust darts, slip",OB121C0TC-K11,Knee-length,"24.5 "" (Size 8)","40.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,0.811783006,2062,https://www.zalando.co.uk/kaffe-eloise-dress-day-dress-sandchalkdark-blue-ka321c0sd-t11.html,Kaffe,ELOISE DRESS , Day dress,summer-dresses,79.99,brown,,,Chiffon,,"95% polyester, 5% metal",100% polyester,,Standing collar,,,,Low-cut v-neck,Print,"Inseam pockets, bust darts, slip",KA321C0SD-T11,Knee-length,"26.5 "" (Size 10)","39.5 "" (Size 10)",Loose Fit,,"15.5 "" (Size 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,0.257501194,4031,https://www.zalando.co.uk/2nd-day-christelle-day-dress-tie-dye-light-s3821c067-a11.html,2nd Day,CHRISTELLE  , Day dress,summer-dresses,189.99,white multi-coloured,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Cache-coeur,Print,Bow,S3821C067-A11,Knee-length,Long,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,0.61232422,6489,https://www.zalando.co.uk/naf-naf-lazale-cocktail-dressparty-dress-na521c0mb-q11.html,NAF NAF,LAZALE , Cocktail dress / Party dress,Cocktail Dresses,,red,,,Chiffon,,100% polyester,"97% viscose, 3% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Backless,Plain,"Elasticated waist, slip",NA521C0MB-Q11,Knee-length,Elbow length,"39.0 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
