model_id                                                   mean_per_class_error    logloss      rmse       mse
-------------------------------------------------------  ----------------------  ---------  --------  --------
DeepLearning_grid_1_AutoML_1_20220309_172119_model_1                   0.473998    1.79601  0.663773  0.440594
DeepLearning_grid_3_AutoML_1_20220309_172119_model_1                   0.499165    2.70365  0.689335  0.475183
StackedEnsemble_BestOfFamily_6_AutoML_1_20220309_172119                0.502564    1.2999   0.692341  0.479336
DeepLearning_grid_2_AutoML_1_20220309_172119_model_2                   0.507198    3.77503  0.699612  0.489456
DeepLearning_grid_1_AutoML_1_20220309_172119_model_2                   0.509723    2.62376  0.68398   0.467828
DeepLearning_grid_2_AutoML_1_20220309_172119_model_1                   0.511885    2.54901  0.68766   0.472876
StackedEnsemble_AllModels_3_AutoML_1_20220309_172119                   0.519887    1.37959  0.718856  0.516754
StackedEnsemble_AllModels_5_AutoML_1_20220309_172119                   0.521964    1.53957  0.680893  0.463615
DeepLearning_grid_3_AutoML_1_20220309_172119_model_2                   0.524196    4.25403  0.712873  0.508188
StackedEnsemble_BestOfFamily_1_AutoML_1_20220309_172119                0.532293    1.33886  0.686144  0.470793
StackedEnsemble_AllModels_6_AutoML_1_20220309_172119                   0.533644    1.33414  0.700982  0.491376
StackedEnsemble_BestOfFamily_3_AutoML_1_20220309_172119                0.536236    1.38568  0.685741  0.470241
StackedEnsemble_BestOfFamily_2_AutoML_1_20220309_172119                0.537182    1.34708  0.688589  0.474155
StackedEnsemble_BestOfFamily_4_AutoML_1_20220309_172119                0.537799    1.35975  0.677456  0.458946
StackedEnsemble_AllModels_1_AutoML_1_20220309_172119                   0.538216    1.39112  0.690602  0.476931
StackedEnsemble_AllModels_4_AutoML_1_20220309_172119                   0.540472    1.38392  0.707527  0.500594
GBM_grid_1_AutoML_1_20220309_172119_model_1                            0.541981    1.47199  0.723179  0.522987
GLM_1_AutoML_1_20220309_172119                                         0.557637    1.37863  0.726544  0.527866
GBM_grid_1_AutoML_1_20220309_172119_model_4                            0.55801     1.4604   0.71846   0.516184
DRF_1_AutoML_1_20220309_172119                                         0.558278    3.60311  0.696496  0.485107
GBM_grid_1_AutoML_1_20220309_172119_model_3                            0.558912    1.49585  0.728175  0.530239
StackedEnsemble_BestOfFamily_5_AutoML_1_20220309_172119                0.564489    1.6082   0.693391  0.48079
GBM_4_AutoML_1_20220309_172119                                         0.599699    1.74815  0.76337   0.582734
XRT_1_AutoML_1_20220309_172119                                         0.599834    1.58144  0.770344  0.59343
GBM_2_AutoML_1_20220309_172119                                         0.600413    1.68579  0.754141  0.568729
GBM_3_AutoML_1_20220309_172119                                         0.602759    1.63346  0.76337   0.582733
DeepLearning_1_AutoML_1_20220309_172119                                0.60589     1.63413  0.728489  0.530696
GBM_grid_1_AutoML_1_20220309_172119_model_2                            0.606479    1.77918  0.766473  0.587481
GBM_5_AutoML_1_20220309_172119                                         0.619548    1.71355  0.764433  0.584357
GBM_1_AutoML_1_20220309_172119                                         0.627392    1.61102  0.765452  0.585917
GBM_grid_1_AutoML_1_20220309_172119_model_5                            0.647845    1.89449  0.783854  0.614427
StackedEnsemble_AllModels_2_AutoML_1_20220309_172119                   0.673294    1.51534  0.763976  0.583659
