"Variable","Relative Importance","Scaled Importance","Percentage"
"cv_predicted",0.26379079747791156,1.0,0.29376574045330106
"Price",0.21873675230078396,0.829205394547927,0.24359213671724336
"Dress name ",0.12325408756892402,0.4672418020164053,0.13725963394008395
"Color",0.053484639706496806,0.20275400134447571,0.0595621793348295
"Brand",0.04815345392003967,0.1825441007814982,0.05362520293145882
"Total length",0.03955628437080627,0.1499532385094613,0.044051124144102345
"Sleeve length",0.02940320058370976,0.11146408769688727,0.03274433025622777
"Dress length",0.013543188281601393,0.051340639670098526,0.015082121028032611
"Outer fabric material",0.012252155805034276,0.046446486845547384,0.013644386599636736
"Details",0.012225484091275165,0.0463453775043038,0.013614684139139566
"Consolidated Prints",0.011354671961882973,0.04304423077091517,0.012644920324660658
"Neckline",0.010104412823170622,0.038304644892006565,0.01125259236950106
"Back width",0.00898196765788789,0.03404958680804622,0.010002602080794648
"Price Category",0.008322083309919959,0.031548042575733924,0.009267734087112742
"Care instructions",0.007766583068274434,0.029442206257876632,0.00864911152192394
"Fit",0.007223048087772466,0.02738172884282396,0.008043813848403691
"Rhinestones?",0.0063875005997965925,0.024214266232435368,0.007113321849304741
"Lining",0.00632234562711953,0.023967271366427897,0.007040763219603891
"Type of dress",0.003769826205620247,0.014290969365358211,0.0041981971974098965
"Consolidated sleeve length",0.003059127322575739,0.011596793185448002,0.003406740537006927
"Our model's height",0.0029071207095980045,0.011020553929071128,0.0032374611851791156
"Backless?",0.0018733979748089265,0.0071018321818667515,0.0020862749894811684
"Collar",0.0018130533909059,0.006873072935979563,0.0020190733602275797
"Pockets?",0.001456730863940464,0.005522295993143745,0.0016222613714281695
"Sheer?",9.870017744053328E-4,0.003741608061547253,0.0010991562626864694
"Consolidated fit",5.842891709811615E-4,0.0022149717752382426,6.506828236360249E-4
"Fastening",5.386832158280341E-4,0.0020420849437446376,5.998945955676809E-4
"Fabric",9.612522434038204E-5,3.6439946070685456E-4,1.0704807739533268E-4
"Shoulderpads?",1.509543747582609E-5,5.722503445970325E-5,1.6810754620520392E-5
"Cut",0.0,0.0,0.0
