,Unnamed: 0,Link,Brand,Dress name ,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,User
0,93.0,https://www.zalando.co.uk/calvin-klein-jeans-strappy-twisted-dress-shift-dress-eggshell-c1821c0a9-a11.html,Calvin Klein,STRAPPY TWISTED DRESS ,64.99,2.0,off-white,Rib,"93% viscose, 7% elastane",Unknown,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Bodycon dresses,Spaghetti straps,Plain,"Adjustable straps, embroidery",Knee length,Spaghetti straps,Spaghetti straps,"29.0 "" (Size S)",Bodycon,Slim fit,Unknown,Unknown,No,No,No,No,Yes,Unknown
1,630.0,https://www.zalando.co.uk/abercrombie-and-fitch-vneck-puff-day-dress-blue-floral-a0f21c09s-k11.html,Abercrombie & Fitch,VNECK PUFF ,64.99,2.0,electric blue,Unknown,"60% cotton, 40% polyester",100% cotton,Machine wash at 30°C,Unknown,Unknown,Zip,Unknown,Low v-neck,Floral,"Bust darts, bow",Short,Elbow length,Elbow length,"31.0 "" (Size S)",Regular Fit,Regular fit,Unknown,"13.5 "" (Size S)",No,No,No,No,No,Unknown
2,283.0,https://www.zalando.co.uk/cream-crferina-short-dress-zally-fit-day-dress-burnt-coral-cr221c0nf-j11.html,Cream,CRFERINA SHORT DRESS ,64.99,2.0,orange,Unknown,100% viscose,Unknown,Unknown,Unknown,Unknown,Button,Unknown,V-neck,Floral,Inseam pockets,Short,Short,Short,"36.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","16.0 "" (Size 10)",No,yes,No,No,No,Unknown
3,1275.0,https://www.zalando.co.uk/kaffe-curve-filora-dress-day-dress-vista-blue-kan21c033-k11.html,Kaffe,FILORA DRESS ,64.99,2.0,pastel blue,Unknown,"55% polyester, 45% viscose",Unknown,Unknown,Unknown,Unknown,Button,Unknown,Round neckline,Checked,Bust darts,Knee length,Elbow length,Elbow length,"38.0 "" (Size 16)",Loose Fit,Loose fit,Unknown,"17.5 "" (Size 16)",Yes,No,No,No,No,Unknown
4,2651.0,https://www.zalando.co.uk/puma-downtown-dress-day-dress-arctic-ice-pu121c02i-k11.html,Puma,DOWNTOWN DRESS ,64.99,2.0,pastel blue,Jersey,"70% cotton, 30% polyester",Unknown,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Round neckline,Unknown,Unknown,Short,Short,Short,"31.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S",Unknown,No,No,No,No,No,Unknown
5,2700.0,https://www.zalando.co.uk/gap-tall-dress-houndstooth-day-dress-red-gah21c01d-g11.html,GAP,DRESS HOUNDSTOOTH ,64.99,2.0,burgundy,Unknown,100% cotton,Unknown,"Machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Button,Accentuating the waist,Round neckline,Checked,Belt included,Short,"25.5 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S","16.0 "" (Size S)",No,No,No,No,No,Unknown
6,2729.0,https://www.zalando.co.uk/tommy-jeans-strappy-linear-bodycon-dress-day-dress-black-tob21c06k-q11.html,Tommy Hilfiger,STRAPPY LINEAR BODYCON DRESS ,64.99,2.0,black,Jersey,"72% polyester, 23% viscose, 5% elastane",Unknown,"Machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Bodycon dresses,Spaghetti straps,Plain,Unknown,Short,Spaghetti straps,Spaghetti straps,"37.0 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 9""  tall and is wearing size S",Unknown,No,No,No,No,Yes,Unknown
7,2986.0,https://www.zalando.co.uk/nuemph-nunanna-dress-day-dress-light-grey-melange-nu121c091-c11.html,Numph,NUNANNA DRESS ,64.99,2.0,grey,Sweat,"80% cotton, 20% polyamide",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Round neckline,Plain,Inseam pockets,Knee length,"23.5 "" (Size S)",Long,"35.0 "" (Size S)",Loose Fit,Loose fit,Unknown,Unknown,No,yes,No,No,No,Unknown
8,1920.0,https://www.zalando.co.uk/banana-republic-petite-bias-slip-slit-charmeuse-cocktail-dress-party-dress-cargo-green-b3e21c005-m11.html,Banana Republic,BIAS SLIP SLIT CHARMEUSE ,134.99,4.0,gold,Satin,100% silk,Unknown,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Low v-neck,Plain,Adjustable straps,Maxi/long,Spaghetti straps,Spaghetti straps,"54.5 "" (Size S)",Regular Fit,Regular fit,Unknown,Unknown,No,No,No,No,No,Unknown
9,2974.0,https://www.zalando.co.uk/needle-and-thread-rosie-long-sleeve-v-neck-bodice-ankle-gown-occasion-wear-champagne-nt521c0fo-a11.html,Needle & Thread,ROSIE LONG SLEEVE V NECK BODICE ANKLE GOWN ,274.99,5.0,white,Tulle,100% polyester,100% polyester,Dry cleanable,Unknown,Unknown,Zip,Unknown,Low v-neck,Floral,"Slip, border, embroidery",Maxi/long,"23.5 "" (Size 8)",Long,"53.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",Unknown,No,No,No,No,No,Unknown
