,Unnamed: 0,Style,Link,Brand,Dress name,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,User
0,273.0,classic,https://www.zalando.co.uk/ps-paul-smith-dress-day-dress-brown-ps721c02u-o11.html,PS Paul Smith,DRESS ,509.99,5.0,brown,Unknown,100% leather,100% viscose,Clean with leather care products,Turn-down collar,Unknown,Button,Button down dresses,Unknown,Plain,Slip,Calf length,Short,Short,"44.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No,Unknown
1,421.0,trendy,https://www.zalando.co.uk/vivetta-flower-dress-day-dress-nero-viq21c01v-q11.html,Vivetta,FLOWER DRESS ,525.0,5.0,black,Unknown,"78% acetate, 22% viscose","65% polyester, 35% cotton",Dry clean only,Standing collar,Unknown,Zip,Unknown,Unknown,Plain,"Border, button row, embroidery, slip",Calf length,Short,Short,"47.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,No,Unknown
2,2333.0,edgy,https://www.zalando.co.uk/han-kjoebenhavn-half-zip-tuck-dress-day-dress-black-hk021c00l-q11.html,Han KjÃ¸benhavn,HALF ZIP TUCK DRESS ,549.99,5.0,black,Unknown,100% leather,100% polyester,Clean with leather care products,Zip neck,Unknown,Zip,Unknown,Unknown,Plain,Slip,Extra short,"24.0 "" (Size S)",Long,"34.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size S","15.5 "" (Size S)",No,No,No,No,No,Unknown
3,3232.0,edgy,https://www.zalando.co.uk/pinko-albareto-dress-cocktail-dress-party-dress-black-p6921c0cn-q11.html,Pinko,ALBARETO DRESS ,489.99,5.0,black,Unknown,100% leather,100% cotton,Clean with leather care products,Unknown,Unknown,Zip,Unknown,Round neckline,Plain,Slip,Short,Sleeveless,Sleeveless,"35.0 "" (Size 10)",Slim Fit,Slim fit,Unknown,"11.5 "" (Size 10)",No,No,No,No,No,Unknown
4,1088.0,trendy,https://www.zalando.co.uk/david-koma-buckle-pencil-dress-cocktail-dress-party-dress-black-d0t21c00i-q11.html,David Koma,BUCKLE PENCIL DRESS ,650.0,5.0,black,Jersey,"95% polyester, 5% elastane",Unknown,Dry clean only,Unknown,Unknown,Zip,Unknown,Low round neckline,Plain,Unknown,Calf length,Sleeveless,Sleeveless,"52.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",Unknown,No,No,No,No,No,Unknown
5,3188.0,trendy,https://www.zalando.co.uk/missoni-dress-day-dress-beige-6mi21c007-a11.html,Missoni,DRESS ,510.0,5.0,brown,Knit,"63% wool, 35% viscose, 2% polyamide",Unknown,Dry clean only,Unknown,Unknown,Unknown,Unknown,Round neckline,Plain,Unknown,Short,"27.0 "" (Size 10)",Long,"35.5 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 10",Unknown,No,No,No,No,No,Unknown
6,2766.0,girly,https://www.zalando.co.uk/needle-and-thread-genevieve-ruffle-gown-occasion-wear-ice-blue-nt521c0f9-k11.html,Needle & Thread,GENEVIEVE RUFFLE GOWN ,519.99,5.0,white,Tulle,100% polyester,"96% polyester, 4% elastane",Dry clean only,Unknown,Unknown,Zip,Unknown,Round neckline,Plain,"Bust darts, slip, border",Maxi/long,Extra short,Short,"59.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No,Unknown
7,2415.0,trendy,https://www.zalando.co.uk/materiel-sleeveless-folded-dress-day-dress-black-mdh21c00a-q11.html,Materiel,SLEEVELESS FOLDED DRESS ,524.99,5.0,black,Unknown,100% wool,Unknown,Dry clean only,Unknown,Unknown,Zip,Unknown,Round neckline,Plain,"Inseam pockets, bust darts",Calf length,Sleeveless,Sleeveless,"49.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",No,yes,No,No,No,Unknown
8,815.0,edgy,https://www.zalando.co.uk/lauren-ralph-lauren-arjileen-day-day-dress-cuoio-l4221c1ew-o11.html,Ralph Lauren,LAMBSKIN FIT,659.99,5.0,brown,Unknown,100% leather,"94% polyester, 6% elastane","Do not tumble dry, Do not wash",Unknown,Unknown,Zip,Unknown,Round neckline,Plain,Slip,Calf length,Short,Short,"42.0 "" (Size 10)",Regular Fit,Regular fit,Unknown,"15.0 "" (Size 10)",No,No,No,No,No,Unknown
9,1425.0,trendy,https://www.zalando.co.uk/alice-olivia-barrett-party-cocktail-dress-party-dress-black-a2n21c00q-q11.html,Alice + Olivia,BARRETT PARTY ,495.0,5.0,black,Velvet/velour,"97% polyester, 3% elastane","94% polyester, 6% elastane",Dry clean only,Standing collar,Unknown,Zip,Unknown,Unknown,Plain,"Underskirt, border",Extra short,Sleeveless,Sleeveless,"34.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 8","12.0 "" (Size 8)",No,No,No,No,No,Unknown
