,Unnamed: 0,Link,Brand,Dress name,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,User
0,3190.0,https://www.zalando.co.uk/vero-moda-vmsimply-easy-34-short-dress-day-dress-ponderosa-pinesandy-ponderosa-pine-ve121c28m-m11.html,Vero Moda,VMSIMPLY EASY 3/4 WVN G ,23.39,1.0,black,Unknown,100% viscose,Unknown,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Low v-neck,Floral,Bust darts,Short,"17.5 "" (Size S)",Elbow length,"36.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,87.0,https://www.zalando.co.uk/part-two-aminase-day-dress-della-robbia-blue-p2121c0e7-k11.html,Part Two,AMINASE ,94.99,3.0,blue,Unknown,100% linen,Unknown,"Do not tumble dry, machine wash at 30°C",Unknown,Unknown,Unknown,Unknown,Low v-neck,Plain,"Inseam pockets, bust darts",Knee length,Short,Short,"39.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,345.0,https://www.zalando.co.uk/never-fully-dressed-mini-lindos-dress-cocktail-dress-party-dress-lilac-nen21c04t-i11.html,Never Fully Dressed,MINI LINDOS DRESS ,94.99,3.0,bright multi-coloured,Unknown,100% polyester,Unknown,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Button,Unknown,Low v-neck,Unknown,Border,Short,"26.0 "" (Size 8)",Long,"36.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,1519.0,https://www.zalando.co.uk/never-fully-dressed-tall-sandy-love-mini-shirt-dress-day-dress-pink-n0l21c01i-j11.html,Never Fully Dressed,SANDY LOVE MINI SHIRT DRESS ,94.99,3.0,bright multi-coloured,Unknown,100% polyester,Unknown,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,Unknown,Laces,Wrap dresses,Low v-neck,Prints in general,Bust darts,Short,"25.5 "" (Size S)",Long,"35.5 "" (Size S)",Slim Fit,Slim fit,Unknown,"14.0 "" (Size S)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4,2589.0,https://www.zalando.co.uk/part-two-aminase-day-dress-cayenne-p2121c0e7-g11.html,Part Two,AMINASE ,94.99,3.0,red,Unknown,100% linen,Unknown,"Do not tumble dry, machine wash at 30°C",Unknown,Unknown,Unknown,Unknown,Low v-neck,Plain,"Inseam pockets, bust darts",Knee length,Short,Short,"39.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",No,yes,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5,3291.0,https://www.zalando.co.uk/expresso-day-dress-mid-blue-denim-ex121c0b2-k11.html,Expresso,Day dress,94.99,3.0,navy,Unknown,100% lyocell,Unknown,"Do not tumble dry, machine wash at 30°C, Dry cleanable, Do not bleach",Unknown,Unknown,Belt,Accentuating the waist,Low v-neck,Floral,Belt included,Short,3/4 length,Elbow length,"37.5 "" (Size 8)",Loose Fit,Loose fit,Unknown,"15.5 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6,3743.0,https://www.zalando.co.uk/closet-closet-london-midi-wrap-slip-dress-cocktail-dress-party-dress-purple-cl921c0ti-i11.html,Closet,CLOSET LONDON MIDI WRAP SLIP DRESS ,94.99,3.0,purple,Unknown,"97% polyester, 3% elastane",Unknown,"Do not tumble dry, machine wash at 30°C",Unknown,Unknown,Zip,Wrap dresses,Spaghetti straps,Polka dot,Adjustable straps,Knee length,Spaghetti straps,Spaghetti straps,"41.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
7,4195.0,https://www.zalando.co.uk/never-fully-dressed-petite-sandy-love-mini-shirt-dress-day-dress-pink-nez21c01m-j11.html,Never Fully Dressed,SANDY LOVE MINI SHIRT DRESS ,94.99,3.0,bright multi-coloured,Unknown,100% polyester,Unknown,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,Unknown,Laces,Wrap dresses,Low v-neck,Prints in general,"Bust darts, decorative buttons",Extra short,"24.5 "" (Size S)",Long,"32.0 "" (Size S)",Slim Fit,Slim fit,Unknown,"13.5 "" (Size S)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8,4225.0,https://www.zalando.co.uk/desigual-vest-oakland-day-dress-blue-de121c101-k11.html,Desigual,VEST OAKLAND ,94.99,3.0,electric blue,Unknown,100% viscose,Unknown,"Do not tumble dry, machine wash at 30°C",Standing collar,Unknown,Button,Accentuating the waist,Unknown,Prints in general,Belt included,Short,"21.5 "" (Size S)",Long,"25.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
9,2180.0,https://www.zalando.co.uk/vero-moda-tall-vmsasha-bali-short-dress-day-dress-china-blue-veb21c0br-k11.html,Vero Moda,VMSASHA BALI SHORT DRESS ,23.99,1.0,blue,Unknown,"97% polyester, 3% elastane",Unknown,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Boat neckline (wide),Plain,Unknown,Short,Short,Short,"36.0 "" (Size S)",Regular Fit,Regular fit,Unknown,Unknown,No,Yes,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
